net,length_um
_000_,449.925
_177_,433.38
net39,340.6
net47,305.04
_057_,298.22
_176_,292.5
clknet_2_2__leaf_clk,287.43
net55,285.76
net49,279.86
net52,272.68
net42,272.6
clknet_0_clk,271.76
_044_,268.935
_045_,263.91
clknet_2_1__leaf_clk,260.42
net53,251.7
clknet_2_3__leaf_clk,251.4
net15,251.24
net44,239.14
net58,237.74
net60,222.76
_054_,221.71
net8,219.54
net48,218.46
net6,218.36
net26,216.44
net46,214.48
net51,210.96
net56,209.58
clknet_2_0__leaf_clk,209.435
_061_,208.7
net4,207.12
net13,205.15
net7,198.82
net2,196.2
_050_,188.845
clk,188.63
net3,186.44
net50,177.315
net38,176.46
net17,171.94
_211_,171.84
net9,170.9
net30,170.38
net66,170.22
_056_,168.52
_053_,165.66
net45,165.315
net32,157.22
net19,157.2
net16,156.72
net43,145.28
net36,144.4
net65,144.36
net31,143.92
net10,143.76
net5,135.9
net54,134.76
net35,134.64
net62,133.4
net1,128.64
_049_,128.06
net24,116.68
_060_,114.5
net12,113.72
net59,108.18
net63,107.08
net41,96.96
net18,95.12
net14,93.44
net29,93.06
_217_,91.14
_221_,88.14
net23,84.58
net25,82.72
_215_,82.32
net37,81.42
net22,76.98
_203_,75.14
net11,73.88
net33,70.82
net64,66.48
net57,66.3
net20,65.86
net61,62.56
_092_,62.48
_040_,57.4
_103_,52.06
_042_,50.16
_041_,46.63
_163_,41.98
net34,38.92
_127_,38.7
net40,36.08
_232_,35.12
_145_,35.085
_130_,33.82
_069_,31.84
_207_,31.8
_213_,30.76
net68,29.02
cnt_act\[1\],29.01
_125_,28.72
estado_act\[0\],28.4
_106_,26.98
cnt_act\[0\],25.625
_102_,25.58
_187_,25.44
_157_,25.2
estado_act\[1\],24.56
_183_,24.5
_168_,24.12
_089_,24.06
_121_,22.16
cnt_act\[3\],21.58
_180_,21.02
_189_,20.64
_186_,19.44
_153_,19.22
net21,19.06
_235_,19.04
_048_,18.98
_112_,18.46
net28,17.04
_087_,16.76
_160_,16.52
cnt_act\[4\],16.3
_047_,15.835
_098_,15.72
product[20],15.4
_136_,15.34
_075_,15.28
product[25],15.27
_062_,14.94
_080_,14.8
_219_,14.54
_099_,14.215
net70,14
_233_,13.82
mcand[8],13.64
_182_,13.54
_018_,13.505
acu_act\[32\],12.86
mcand[12],12.67
product[12],12.62
_111_,12.58
_119_,12.58
_052_,12.52
_174_,12.5
_194_,12.5
_115_,12.48
mplier[7],12.38
_105_,12.115
mplier[2],11.78
_076_,11.7
mplier[8],11.55
product[13],11.46
mplier[4],11.34
mplier[5],11.34
_108_,11.24
product[6],11.24
mcand[13],11.02
_147_,11
_234_,11
_072_,10.76
_091_,10.72
_190_,10.61
_101_,10.46
mcand[4],10.42
mplier[11],10.42
_079_,10.4
product[16],10.32
product[19],10.32
product[26],10.32
product[3],10.32
product[4],10.32
product[5],10.32
_198_,10.28
mplier[9],10.11
_229_,10.1
_046_,9.98
product[18],9.86
product[22],9.86
mplier[0],9.77
_059_,9.74
_159_,9.48
_166_,9.42
_085_,9.36
_169_,9.36
_231_,9.36
_100_,9.26
_142_,9.2
product[23],8.96
product[7],8.96
net75,8.94
mcand[2],8.84
mplier[3],8.84
_126_,8.72
mplier[10],8.72
mplier[14],8.72
mplier[6],8.72
_237_,8.535
_084_,8.48
net69,8.48
_139_,8.44
_141_,8.24
_117_,8.14
_151_,8.14
_123_,8.1
_158_,8.1
_016_,8.065
_132_,8.06
product[0],8.04
product[11],8.04
product[1],8.04
product[29],8.04
product[2],8.04
product[31],8.04
_082_,8.035
_037_,8.025
_078_,8.02
_138_,8.02
_010_,7.985
_120_,7.98
_196_,7.98
_131_,7.94
_230_,7.9
_225_,7.7
_193_,7.6
product[28],7.58
_173_,7.54
_066_,7.535
_135_,7.32
_128_,7.26
_129_,7.24
_088_,7.18
_227_,7.18
_063_,7.1
_074_,7.1
_149_,7.1
_124_,7.08
_104_,7.06
_133_,7.06
_001_,6.945
net27,6.92
_143_,6.88
_034_,6.825
_077_,6.78
done,6.77
mcand[3],6.77
net67,6.76
net72,6.76
